mmsi,fpi_proxy_legacy,ecp_proxy_legacy,fpi_proxy_scientific,ecp_proxy_scientific,environment_score,temperature_score,salinity_score,productivity_score,hydrodynamic_score,behavior_score,fpi_delta,ecp_delta
209451000,0.7791075050709939,0.7791075050709939,0.2239,0.2491,0.6365,0.9138,0.916,0.1185,0.3875,0.2151,-0.5552075050709939,-0.5300075050709939
209594000,0.6684931506849314,0.6684931506849314,0.1441,0.1592,0.6226,0.9101,0.9225,0.1032,0.3216,0.139,-0.5243931506849314,-0.5092931506849314
210040000,0.784,0.784,0.2665,0.2976,0.7264,0.9136,0.921,0.1071,1.0,0.2496,-0.5175000000000001,-0.48640000000000005
210142000,0.4,0.4,0.008,0.0087,0.7299,0.9153,0.9196,0.1196,1.0,0.0075,-0.392,-0.39130000000000004
210415000,0.8308755760368663,0.8308755760368663,0.4557,0.5175,0.6876,0.9145,0.9177,0.1127,0.734,0.4314,-0.37517557603686635,-0.3133755760368664
210493000,0.4,0.4,0.0159,0.0173,0.7101,0.9144,0.9182,0.1138,0.8815,0.015,-0.3841,-0.38270000000000004
210601000,0.4,0.4,0.016,0.0174,0.7272,0.9115,0.9252,0.1102,1.0,0.015,-0.384,-0.38260000000000005
210824000,0.7856194690265488,0.7856194690265488,0.2441,0.2722,0.6502,0.9124,0.9172,0.1213,0.4764,0.2336,-0.5415194690265488,-0.5134194690265488
211183010,0.4,0.4,0.016,0.0174,0.723,0.9154,0.9155,0.1161,0.9647,0.015,-0.384,-0.38260000000000005
212283000,0.4,0.4,0.008,0.0087,0.7291,0.9111,0.9263,0.1176,1.0,0.0075,-0.392,-0.39130000000000004
212334000,0.5773399014778325,0.5773399014778325,0.0088,0.0096,0.609,0.9139,0.9216,0.1413,0.1589,0.0085,-0.5685399014778325,-0.5677399014778325
212352000,0.8005520504731861,0.8005520504731861,0.6954,0.8116,0.6758,0.9112,0.9218,0.1143,0.6562,0.6606,-0.1051520504731861,0.011047949526813872
212780000,0.7787826086956522,0.7787826086956522,0.3435,0.3861,0.7199,0.9144,0.9176,0.1178,0.9411,0.3222,-0.43528260869565216,-0.3926826086956522
212807000,0.721078921078921,0.721078921078921,0.6622,0.7682,0.6554,0.9171,0.9177,0.1285,0.4861,0.6327,-0.05887892107892101,0.047121078921078974
212939000,0.8503067484662576,0.8503067484662576,0.4792,0.5457,0.725,0.9105,0.9299,0.0992,1.0,0.4489,-0.37110674846625763,-0.3046067484662577
215167000,0.8639133378469872,0.8639133378469872,0.3454,0.3892,0.7257,0.9137,0.9306,0.0962,1.0,0.3235,-0.5185133378469873,-0.4747133378469872
215381000,0.8432491767288693,0.8432491767288693,0.3195,0.3585,0.6688,0.9153,0.917,0.1168,0.6007,0.3041,-0.5237491767288693,-0.48474917672886936
215748000,0.7924611973392461,0.7924611973392461,0.5541,0.6352,0.6259,0.9118,0.918,0.1106,0.3331,0.5339,-0.2383611973392461,-0.15726119733924615
219027760,0.7037178265014299,0.7037178265014299,0.2265,0.2515,0.6836,0.9169,0.9207,0.1224,0.6806,0.2147,-0.47721782650142985,-0.4522178265014299
220008000,0.7787128712871287,0.7787128712871287,0.3475,0.3911,0.6742,0.9202,0.9176,0.1204,0.6167,0.3302,-0.43121287128712876,-0.38761287128712874
228027900,0.796594427244582,0.796594427244582,0.193,0.2143,0.5932,0.9107,0.9237,0.1028,0.1233,0.1877,-0.6035944272445819,-0.582294427244582
228492800,0.4369565217391304,0.4369565217391304,0.0188,0.0205,0.7271,0.9146,0.9174,0.1113,1.0,0.0176,-0.4181565217391304,-0.4164565217391304
229657000,0.4,0.4,0.0481,0.0525,0.7291,0.9144,0.9216,0.116,1.0,0.045,-0.35190000000000005,-0.34750000000000003
229744000,0.7179282868525896,0.7179282868525896,0.2428,0.2706,0.676,0.9124,0.9229,0.1137,0.6535,0.2306,-0.47512828685258957,-0.4473282868525896
235102348,0.6421926910299003,0.6421926910299003,0.0811,0.0891,0.6229,0.9136,0.9153,0.1149,0.3044,0.0782,-0.5610926910299003,-0.5530926910299003
236325000,0.7410126582278481,0.7410126582278481,0.2055,0.2284,0.6843,0.912,0.9185,0.1113,0.7201,0.1947,-0.5355126582278481,-0.5126126582278481
246467000,0.7350427350427351,0.7350427350427351,0.1732,0.192,0.5945,0.9107,0.9188,0.1034,0.1373,0.1684,-0.5618427350427351,-0.5430427350427351
246592000,0.4,0.4,0.0,0.0,0.724,0.9125,0.9276,0.0939,1.0,0.0,-0.4,-0.4
246660000,0.9123926380368098,0.9123926380368098,0.3072,0.3449,0.6009,0.9105,0.9153,0.1199,0.158,0.2982,-0.6051926380368098,-0.5674926380368098
246661000,0.4,0.4,0.008,0.0087,0.7204,0.9117,0.9252,0.1176,0.9418,0.0075,-0.392,-0.39130000000000004
246671000,0.9087573964497042,0.9087573964497042,0.63,0.7293,0.6161,0.912,0.917,0.1183,0.2552,0.6088,-0.2787573964497042,-0.17945739644970427
246714000,0.7698519515477793,0.7698519515477793,0.209,0.2324,0.5945,0.9107,0.9225,0.1074,0.1255,0.2032,-0.5608519515477793,-0.5374519515477794
247437900,0.4,0.4,0.008,0.0087,0.7298,0.9152,0.9187,0.1201,1.0,0.0075,-0.392,-0.39130000000000004
248756000,0.6288793103448276,0.6288793103448276,0.3087,0.3461,0.6418,0.9111,0.9244,0.1084,0.4361,0.2961,-0.3201793103448276,-0.28277931034482756
248966000,0.4,0.4,0.008,0.0087,0.7302,0.9154,0.9177,0.1218,1.0,0.0075,-0.392,-0.39130000000000004
249030000,0.834355828220859,0.834355828220859,0.4073,0.4613,0.5984,0.9122,0.9183,0.106,0.156,0.3956,-0.42705582822085897,-0.373055828220859
